User;Description;Time (h);Time (decimal)
;Daily Message fix;04:03:06;4,05
;Frontend;01:00:48;1,01
;Login Backend;02:23:48;2,40
;Notes Feature Backend;00:34:58;0,58
;Erstellung der ersten Controller;00:06:00;0,10
;Datenbank Update;01:02:00;1,03
;Image Upload;00:34:08;0,57
;Story Funktion;06:41:09;6,69
;Erstellung der ersten Version der Models;00:32:00;0,53
;Freifächer;05:15:58;5,27
;Image Feature Backend;00:55:15;0,92
;Diplomarbeit;10:35:00;10,58
;login;00:28:39;0,48
;Projekt Info Webseite;05:00:00;5,00
;Organisatorisches & Projekt Website;02:25:00;2,42
;Projekt Info Webseite Responsive;02:00:00;2,00
;Backend / Frontend proper setup;02:18:54;2,32
;Story;00:35:21;0,59
;Verbesserung der Datenbank;01:16:00;1,27
;Datenbank Besprechung;02:40:00;2,67
Total (01/01/2022 - 31/12/2022);;432:06:21;432,11
